speaker,start,end,text
SPEAKER_00,0.0,17.52,"Señor diputado presidente, se tienen registradas 263 diputadas y diputados, por lo tanto, hay"
SPEAKER_00,17.52,33.0,que tener un acuerdo.
SPEAKER_03,33.0,40.12,Se abre la sesión ordinaria del viernes 13 de septiembre del 2024. El orden del día
SPEAKER_03,40.12,46.56,se encuentra publicado en la Gazeta Parlamentaria y disponible en las tabletas instaladas en
SPEAKER_03,46.56,55.56,las curules de las y los diputados. Consulte la Secretaría de la Asamblea en votación
SPEAKER_01,55.56,65.64,económica si se dispensa la lectura del acta de la sesión anterior.
SPEAKER_01,65.64,71.16,En votación económica se consulta la Asamblea si se dispensa la lectura al acta de la sesión
SPEAKER_01,71.16,78.04,anterior tomando en consideración que ha sido publicada en la Gazeta Parlamentaria. Las
SPEAKER_01,78.04,83.8,diputadas y los diputados que estén por la afirmativa sirvanse manifestarlo.
SPEAKER_01,83.8,97.12,"Señor presidente, mayoría por la afirmativa."
SPEAKER_01,97.12,105.56,Se dispensa la lectura. Consulte la Secretaría si es de aprobarse el acta de la sesión anterior.
SPEAKER_01,105.56,110.96,En votación económica se pregunta la Asamblea si se aprueba el acta de la sesión anterior.
SPEAKER_01,110.96,118.64,Las diputadas y los diputados que estén por la afirmativa sirvanse manifestarlo.
SPEAKER_01,118.64,125.2,Las diputadas y los diputados que estén por la negativa sirvanse manifestarlo.
SPEAKER_01,125.2,128.56,"Señor presidente, mayoría por la afirmativa."
SPEAKER_03,128.56,137.0,Aprobada el acta. El siguiente asunto en el orden del día es la declaratoria de reforma
SPEAKER_03,137.0,144.96,constitucional en materia del Poder Judicial. Se acaba de recibir comunicación de la Cámara
SPEAKER_03,144.96,151.0,de Senadores con el que remite el proyecto de declaratoria de reforma constitucional.
SPEAKER_03,151.08,154.32,Solicito a la Secretaría dar lectura.
SPEAKER_01,156.88,165.68,"Ciudadanos secretarios de la Cámara de Diputados, tenemos el honor de remitir a ustedes para"
SPEAKER_01,165.68,172.72,los efectos constitucionales el expediente con el proyecto de declaratoria que reforma
SPEAKER_01,172.72,179.24,adiciona y deroga diversas disposiciones de la Constitución Política de los Estados
SPEAKER_01,179.24,187.88,Unidos mexicanos en materia de reforma del Poder Judicial que contiene 23 votos aprobatorios
SPEAKER_01,187.88,200.92,"de los congresos de los estados de Baja California, Baja California Sur, Campeche, Colima, Durango,"
SPEAKER_01,200.92,217.24,"Guerrero, Hidalgo, México, Morelos, Nayarit, Oaxaca, Puebla, Quintana Roo, San Luis Potosí,"
SPEAKER_01,217.24,235.56,"Sinaloa, Sonora, Tabasco, Tabaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán,"
SPEAKER_01,235.56,262.32,"Zacatecas y de la Ciudad de México, firma senador Gerardo Fernández Noroña."
SPEAKER_00,262.32,285.08,Continúe la secretaría.
SPEAKER_00,285.08,301.68,"Señor presidente, se recibieron los votos aprobatorios correspondientes a las legislaturas"
SPEAKER_00,301.68,314.04,"de los estados de Baja California, Baja California Sur, Campeche, Colima, Durango, Guerrero, Hidalgo,"
SPEAKER_00,314.04,326.92,"México, Morelos, Nayarit, Oaxaca, Puebla, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco,"
SPEAKER_00,326.92,341.96,"Tabaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas y de la Ciudad de México."
SPEAKER_00,341.96,351.44,"Señor presidente, en virtud del cómputo realizado, esta secretaría da fe de la recepción"
SPEAKER_00,351.44,359.56,"de 22 votos aprobatorios al proyecto de decreto por el que se reforman, adicionan y derogan"
SPEAKER_00,359.56,365.2,diversas disposiciones de la Constitución política de los Estados Unidos mexicanos
SPEAKER_00,365.2,369.96,en materia de reforma del Poder Judicial.
SPEAKER_00,369.96,389.04,Se pide a todas y a todos los presentes ponerse de pie.
SPEAKER_03,389.04,395.04,Una vez realizado el cómputo de votos aprobatorios de la mayoría de las legislaturas de los
SPEAKER_03,395.04,403.72,"Estados y de la Ciudad de México, esta presidencia emite la siguiente declaratoria."
SPEAKER_03,403.72,411.36,"El Congreso de la Unión, en uso de la facultad que le confiere el artículo 135 de la Constitución"
SPEAKER_03,411.36,416.96,política de los Estados Unidos mexicanos y previa aprobación de la mayoría de las
SPEAKER_03,416.96,425.36,"honorables legislaturas de los Estados y de la Ciudad de México declara reformadas, adicionadas"
SPEAKER_03,425.36,432.12,y derogadas diversas disposiciones de la Constitución política de los Estados Unidos mexicanos
SPEAKER_03,432.12,435.92,en materia de reforma del Poder Judicial.
SPEAKER_03,435.92,465.88,"En términos del artículo 135 constitucional, se remite al Ejecutivo Federal para su público"
SPEAKER_03,466.64,495.08,en el Diario Oficial de la Federación. Pueden tomar asiento.
SPEAKER_03,495.08,502.08,Se levanta la sesión y cito para la que tendrá lugar el miércoles 18 de septiembre del año
SPEAKER_03,502.08,510.48,en curso a las 11 horas. El registro de asistencia estará disponible en las tabletas a partir
SPEAKER_03,510.48,519.48,de las 9 horas.
SPEAKER_02,519.48,526.88,"Se hace la declaración de reforma constitucional, se hace del conocimiento de los legisladores"
SPEAKER_02,526.88,533.52,y legisladores presentes en esta sesión ordinaria de la aprobación de las reformas a nuestra
SPEAKER_02,533.52,541.2,Constitución en materia de reforma del Poder Judicial de 22 Congresos de las entidades federativas.
SPEAKER_02,541.2,548.12,Se remite al Poder Ejecutivo Federal para su publicación en el Diario Oficial de la Federación
SPEAKER_02,548.12,553.72,y concluye esta sesión ordinaria. Se cita para la próxima semana en donde se estarán
SPEAKER_02,553.72,558.8,"reanudando los trabajos, las actividades en esta Cámara de Diputados."
SPEAKER_02,558.8,562.64,"Le hemos informado, por supuesto, de lo que ha ocurrido en el Congreso de la Unión en"
SPEAKER_02,562.64,569.28,relación con la discusión y las diversas debates que se han dado en torno a esta propuesta
SPEAKER_02,569.28,574.52,enviada por el Poder Ejecutivo Federal y que ha sido aprobado por el Congreso de la Unión
SPEAKER_02,574.52,581.52,"y, por supuesto, por estas 22 entidades federativas, por lo cual se ha realizado la declaración"
SPEAKER_02,581.52,585.8,de reforma constitucional. Muchísimas gracias por habernos acompañado
SPEAKER_02,585.8,591.2,"en esta transmisión. Por supuesto, lo invitamos para que permanezca usted en la señal del"
SPEAKER_02,591.2,594.2,Canal del Congreso. Muchísimas gracias y hasta pronto.
